date,contact,duration,campaign,pdays,previous,poutcome,y
2008-05-05,unknown,261,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,151,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,76,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,92,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,198,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,139,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,217,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,380,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,50,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,55,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,222,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,137,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,517,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,71,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,174,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,353,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,98,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,38,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,219,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,54,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,262,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,164,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,160,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,342,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,181,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,172,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,296,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,127,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,255,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,348,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,225,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,230,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,208,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,226,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,336,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,242,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,365,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,1666,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,577,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,137,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,160,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,180,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,22,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,1492,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,616,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,242,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,355,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,225,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,160,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,363,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,266,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,253,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,179,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,787,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,145,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,174,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,104,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,13,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,185,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,1778,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,138,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,812,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,164,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,391,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,357,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,91,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,528,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,273,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,158,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,177,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,258,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,172,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,154,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,291,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,181,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,176,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,211,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,349,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,272,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,208,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,193,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,212,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,20,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,1042,1,-1,0,no_previous_campaign,1
2008-05-05,unknown,246,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,529,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,1467,1,-1,0,no_previous_campaign,1
2008-05-05,unknown,1389,1,-1,0,no_previous_campaign,1
2008-05-05,unknown,188,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,180,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,48,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,213,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,583,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,221,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,173,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,426,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,287,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,101,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,203,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,197,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,257,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,124,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,229,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,55,3,-1,0,no_previous_campaign,0
2008-05-05,unknown,400,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,197,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,190,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,21,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,514,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,849,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,194,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,144,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,212,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,286,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,107,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,247,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,518,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,364,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,178,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,98,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,439,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,79,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,120,3,-1,0,no_previous_campaign,0
2008-05-05,unknown,127,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,175,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,262,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,61,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,78,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,143,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,579,1,-1,0,no_previous_campaign,1
2008-05-05,unknown,677,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,345,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,185,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,100,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,125,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,193,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,136,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,73,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,528,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,541,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,163,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,301,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,46,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,204,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,98,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,71,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,157,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,243,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,186,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,579,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,163,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,610,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,2033,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,85,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,114,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,114,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,57,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,238,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,93,3,-1,0,no_previous_campaign,0
2008-05-05,unknown,128,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,107,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,181,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,303,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,558,5,-1,0,no_previous_campaign,0
2008-05-05,unknown,270,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,228,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,99,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,240,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,673,2,-1,0,no_previous_campaign,1
2008-05-05,unknown,233,3,-1,0,no_previous_campaign,0
2008-05-05,unknown,1056,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,250,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,252,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,138,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,130,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,412,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,179,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,19,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,458,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,717,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,313,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,683,2,-1,0,no_previous_campaign,0
2008-05-05,unknown,1077,1,-1,0,no_previous_campaign,0
2008-05-05,unknown,416,1,-1,0,no_previous_campaign,0
